sentence	label
John gave Bill of the book.	0
Clouds cleared from the sky.	1
How is someone to chat to a girl if she does not go out?	1
The piano Frank bought for Jane.	1
We love they.	0
the student who won the prize left.	1
Our team played all well.	0
John concluded Bill to be a fool.	0
The climbers were killed by the intense cold.	1
Jake kicked the ball halfway to Bill.	1
Jack ate more of this than he ate of that.	1
He gets angry if John has to wait.	0
I am removing the shovel from the shed.	1
What Mr Collins is doing is praising Lady de Bourg.	1
The students of English from Seoul faced many issues in the process of interpreting, transcribing, and editing the poems.	1
I explained to fix the sink.	0
John is carefully studying Russian.	1
Mary sent a book to Bill.	1
I'm going out, whatever the weather.	1
There lived a man with his grandson.	1
Stephen believed Ben to be careful.	1
John will endorse the treaty, but Georges will not endorse the treaty.	1
She did with her father away.	0
He's reliable enough a man.	0
Mickey and Roger have signed, and Whitey will tomorrow.	1
We spotted that they were running.	0
I raw eat fish drunk.	0
Sarah sang a ballad.	1
Calvin was eating.	1
There is any book by Chomsky in this library.	0
Fanny regretted talking to Mary.	1
I will force you to marry no one.	1
The car has been driven.	1
They haven't decided which attorney will give the closing argument.	1
Fruit fell against the house against the ground.	0
I explained that we should fix the sink.	1
Herman mixed the eggs and the cream.	1
Himself saw him	0
The ball rolled.	1
I ran a man who was old down.	0
I wonder who Jim kissed.	1
That that for Herschel to throw a fit would confuse the guards was obvious is not true.	1
John tries to fix the computer.	1
I think John likes his beer.	1
Bill bled on the floor.	1
Bill disappeared down the road.	1
Aphrodite do freed animals.	0
I'll give some to my good friend from Akron.	1
John is tough to persuade.	1
I have sent 0 letter to Environmental Heath	0
He muttered that the visitors will leave.	1
John seemed to be a great linguist.	1
I danced a dance.	1
You washed myself.	0
They rowed.	1
Carla slid those books across the table.	1
I prefer for the girl to win.	1
He began writing poems.	1
I spoke to about the war yesterday that guy who's always following us.	0
That I should evaporate is my fondest dream	1
The thief stole the painting for Mr. Smith.	1
We are using their teaching material.	1
Fluffy is sick, which I fell asleep and Tom suddenly realized.	0
Tony has a Fiat to yearn for a tall nurse.	0
News of Persephone and Demeter reach the great gods and goddesses of Olympus.	1
As a statesman, scarcely he could do anything worth mentioning.	0
Carol carved the marble with a chisel.	1
Bill reading of Shakespeare satisfied me	0
I sent him something.	1
This computer was bought for him by his girlfriend.	1
They believe there to be a dragon in the wood.	1
The dancing chorus line of elephants broke my television set.	1
The boy swims.	1
Alison poked the needle into the cloth.	1
Which books did Robin read and talk to Chris?	0
He turned from a prince.	0
Medea tried Medea to poison her children.	0
Tess knocked at the door.	1
The child was never deceived.	1
I will speak to Hector about this.	1
John can go to the market to India.	0
There was a yellow collar on the dog which the car injured.	1
King prawns cooked in chili salt and pepper was very much better, a simple dish deliciously executed.	1
The green loved peanut butter cookies.	0
The socks are ready for you to try them and the shoes on.	1
His analysis, I never liked.	1
Patrick is likely that left.	0
In the garden stands a statue.	1
The White Rabbit vanished his watch.	0
That annoying faucet was dripping constantly for months.	1
I do not love peanut butter.	1
I believe it to be the switch that is defective.	1
David constructed a house out of.	1
We persuaded them to examine themselves.	1
Who does he admire?	1
José is eating cabbage, and Holly is too.	1
Did not Sue pass her exam?	0
They drank the pub dry.	1
Anson put a book	0
What Henry find was Bill sad.	0
Fanny stopped talking because in came Aunt Norris.	1
The time bomb had a snake behind the car which it was sitting in.	0
I'm sorry he bought a car.	1
The old pigs love truffles	1
I inquired for John to like his beer.	0
I lent the book halfway to Tony.	0
No one could remove the blood from the wall	1
John is said to be rich.	1
John asks whose book his son likes.	1
Shannon left quietly every day.	1
He put the money where Lee told him to put it.	1
Heidi believes Bill's description of herself.	0
The car has been being driven.	1
Of whom are you trying to get hold?	0
Idaho potatoes bake beautifully.	1
John laughed.	1
Fluffy is sick, which nobody knows.	1
Vera is knitting there.	1
Teresa bottle fed the baby.	1
Peter has been asked to resign.	1
Yes, she will.	1
Alison poked Daisy in the ribs.	1
She writes clearly enough.	1
Gilgamesh loved Ishtar and Aphrodite did too	1
John is happy about the outcome.	1
Sam may have been being interrogated by the FBI.	1
Although he likes cabbage too, Fred likes eggplants.	1
Whether he left!	0
They arrived first	1
Smith loaned a valuable collection of manuscripts to the library, and his widow later donated a valuable collection of manuscripts to the library.	1
Which boy works in a skyscraper and the girl in a quonset hut?	0
Whiskey do I drink.	0
John immediately learned French perfectly.	1
Tom keeps asking Karen's sister to buy the car.	1
Every man who has matches is happy.	1
We yelled ourselves.	0
Is whether he played the piano known?	0
Will put, this girl in the red coat will put a picture of Bill on your desk before tomorrow.	0
The medal was given to the soldier by Phillip.	1
Fred talked about everything before Rusty did.	1
You please make yourself comfortable and I'll wash the dishes.	1
They fed the meat to the lions raw.	1
What Medea wondered if was the potion was ready	0
Calvin ate not his dinner.	0
Mary will complete her exam within an hour.	1
Syntax is easy to pretend that you can teach.	1
She mumbled.	1
Nurse Rooke has discovered where Anne Elliott stayed.	1
Brian wiped the fingerprints from outside the cupboard.	1
Calculus is difficult for me to concentrate on.	1
So much did you eat that everyone gasped.	1
Wash yourself.	1
John believed Kim to leaving here.	0
You eat the fish raw and the beef cooked.	1
The beans were grown by the gardener.	1
Christina is ready to leave.	1
It's mainly his attitude which convinced the teacher.	1
What that he was wearing is certain is this hat.	0
I know the truth and that you are innocent.	0
The equipment we bought last year was more expensive than the one we bought this year.	0
They all agreed to include those matters which everyone believed had been excluded from the Treaty.	1
John believes Bill that Mary has slept.	0
It was John's that I stole bike.	0
Steve tossed the ball at Anna.	1
Swimming is fun, and I believe that people who can't should be taught to.	1
Fruit hit the roof against the ground.	0
They let him go yesterday, he.	0
Runs Mary the marathon?	0
It happens to be true of every student in Mary's class that he is working on polarity items.	1
